orid,title,user,space,space_url,judged,points,claims_judged,claims_verified,claims_falsified,claims_toy,claims_zero,created_at,judged_at
FlnQlvkYR3,SkillTrojan: Backdoor Attacks on Skill-Based Agent Systems,abhishekkataria16,abhishekkataria16/claim-FlnQlvkYR3-logbook,https://huggingface.co/spaces/abhishekkataria16/claim-FlnQlvkYR3-logbook,False,0,0,0,0,0,0,,
XEbD5cYpgV,Estimation of Treatment Effects Under Nonstationarity via the Truncated Policy Gradient Estimator,michaldobiezynski,michaldobiezynski/repro-estimation-of-treatment-effects-under-nonstationarity-via-the-truncated-policy,https://huggingface.co/spaces/michaldobiezynski/repro-estimation-of-treatment-effects-under-nonstationarity-via-the-truncated-policy,True,8,5,4,0,0,1,,2026-07-28T22:52:29+00:00
4CwO8At8Hw,"The Catastrophic Failure of *the* k-Means Algorithm in High Dimensions, and How Hartigan's Algorithm Avoids It",ParetoOptimal,ParetoOptimal/repro-4cwo8at8hw,https://huggingface.co/spaces/ParetoOptimal/repro-4cwo8at8hw,True,8,6,4,0,0,2,,2026-07-28T22:08:00+00:00
4CwO8At8Hw,"The Catastrophic Failure of *the* k-Means Algorithm in High Dimensions, and How Hartigan's Algorithm Avoids It",snaykey,snaykey/repro-kmeans-hd-failure,https://huggingface.co/spaces/snaykey/repro-kmeans-hd-failure,True,12,6,6,0,0,0,,2026-07-28T21:25:22+00:00
LhGxRnGmGJ,Accurate Evaluation of Quickest Changepoint Detectors via Non-parametric Survival Analysis,ProCreations,ProCreations/repro-censoring-aware-changepoint-evaluation,https://huggingface.co/spaces/ProCreations/repro-censoring-aware-changepoint-evaluation,True,12,6,3,3,0,0,,2026-07-28T19:44:40+00:00
VAXW59dyfk,Optimal Decision-Making Based on Prediction Sets,ParetoOptimal,ParetoOptimal/repro-vaxw59dyfk,https://huggingface.co/spaces/ParetoOptimal/repro-vaxw59dyfk,True,4,4,0,0,4,0,,2026-07-28T19:41:46+00:00
YzlscRoNUj,How Should Transformers Encode Numeric Values in Electronic Health Records?,abhishekkataria16,abhishekkataria16/claim-YzlscRoNUj-logbook,https://huggingface.co/spaces/abhishekkataria16/claim-YzlscRoNUj-logbook,True,0,3,0,0,0,3,,2026-07-28T19:34:41+00:00
Tyv61ZKb9s,SynerMedGen: Synergizing Medical Multimodal Understanding with Generation via Task Alignment,Edd16,Edd16/icml2026-Tyv61ZKb9s-repro,https://huggingface.co/spaces/Edd16/icml2026-Tyv61ZKb9s-repro,True,2,6,0,0,2,4,,2026-07-28T19:14:40+00:00
9kWVQtpvJi,Learning Treatment Allocations with Risk Control Under Partial Identifiability,kondratevakate,kondratevakate/repro-learning-treatment-allocations-with-risk-control-under-partial-identifiability,https://huggingface.co/spaces/kondratevakate/repro-learning-treatment-allocations-with-risk-control-under-partial-identifiability,True,4,5,1,0,2,2,,2026-07-28T18:57:33+00:00
FzP6XZGG4d,Human-AI Collaborative Uncertainty Quantification,ai-sherpa,ai-sherpa/human-ai-collaborative-uq-repro,https://huggingface.co/spaces/ai-sherpa/human-ai-collaborative-uq-repro,True,10,5,5,0,0,0,,2026-07-28T16:08:14+00:00
2azIa9tfl3,Optimizing Rank for High-Fidelity Implicit Neural Representations,Edd16,Edd16/icml2026-2azIa9tfl3-repro,https://huggingface.co/spaces/Edd16/icml2026-2azIa9tfl3-repro,True,1,4,0,0,1,3,,2026-07-28T15:59:01+00:00
ZVyd4r9Xl5,Beyond Majority Voting: LLM Aggregation by Leveraging Higher-Order Information,DineshAI,DineshAI/ZVyd4r9Xl5,https://huggingface.co/spaces/DineshAI/ZVyd4r9Xl5,True,10,6,5,0,0,1,,2026-07-28T19:56:26+00:00
Np7Y3AEVNq,Budgeted Active Experimentation for Treatment Effect Estimation from Observational and Randomized Data,sotayamashita,sotayamashita/repro-budgeted-active-experimentation,https://huggingface.co/spaces/sotayamashita/repro-budgeted-active-experimentation,True,10,6,5,0,0,1,,2026-07-28T14:04:36+00:00
OMdQJQwp26,MedMosaic: A Challenging Large Scale Benchmark of Diverse Medical Audio,Edd16,Edd16/icml2026-OMdQJQwp26-repro,https://huggingface.co/spaces/Edd16/icml2026-OMdQJQwp26-repro,True,2,6,1,0,0,5,,2026-07-28T13:32:47+00:00
4CwO8At8Hw,"The Catastrophic Failure of *the* k-Means Algorithm in High Dimensions, and How Hartigan's Algorithm Avoids It",algorise,algorise/repro-the-catastrophic-failure-of-the-k-means-algorithm-in-high-dimensions-and-how-hartigan-s-al,https://huggingface.co/spaces/algorise/repro-the-catastrophic-failure-of-the-k-means-algorithm-in-high-dimensions-and-how-hartigan-s-al,True,1,6,0,0,1,5,,2026-07-28T12:24:25+00:00
Ir6N7U5Kea,Causal Matrix Completion under Multiple Treatments via Mixed Synthetic Nearest Neighbors,DineshAI,DineshAI/Ir6N7U5Kea,https://huggingface.co/spaces/DineshAI/Ir6N7U5Kea,True,12,6,3,3,0,0,,2026-07-28T23:56:18+00:00
djASMk0bzO,Richer Bayesian Last Layers with Subsampled NTK Features,snaykey,snaykey/repro-rich-bll-ntk,https://huggingface.co/spaces/snaykey/repro-rich-bll-ntk,True,7,6,3,0,1,2,,2026-07-28T06:36:48+00:00
bSUMVAYoMq,Regime-Adaptive Bayesian Optimization via Dirichlet Process Mixtures of Gaussian Processes,snaykey,snaykey/repro-rambo-bo,https://huggingface.co/spaces/snaykey/repro-rambo-bo,True,5,6,2,0,1,3,,2026-07-28T06:37:43+00:00
puNfWfBFNT,Causal Representation Learning with Optimal Compression and  Complex Treatments,snaykey,snaykey/repro-causal-compression-treatments,https://huggingface.co/spaces/snaykey/repro-causal-compression-treatments,True,10,6,4,0,2,0,,2026-07-28T06:34:28+00:00
LhGxRnGmGJ,Accurate Evaluation of Quickest Changepoint Detectors via Non-parametric Survival Analysis,amkkk,amkkk/repro-accurate-evaluation-of-quickest-changepoint-detectors,https://huggingface.co/spaces/amkkk/repro-accurate-evaluation-of-quickest-changepoint-detectors,True,12,6,5,1,0,0,,2026-07-27T23:32:59+00:00
Yy37YQCvCt,Learning Treatment Representations for Downstream Instrumental Variable Regression,snaykey,snaykey/repro-treatment-rep-iv,https://huggingface.co/spaces/snaykey/repro-treatment-rep-iv,True,5,5,2,0,1,2,,2026-07-27T23:31:10+00:00
Q7lEZjtDKO,Robust Sequential Experimental Design for A/B Testing,snaykey,snaykey/repro-robust-seq-ab-testing,https://huggingface.co/spaces/snaykey/repro-robust-seq-ab-testing,True,4,5,0,0,4,1,,2026-07-27T23:30:55+00:00
DsV89lJ58l,Linear Regression with Unknown Truncation Beyond Gaussian Features,amkkk,amkkk/repro-linear-regression-unknown-truncation,https://huggingface.co/spaces/amkkk/repro-linear-regression-unknown-truncation,True,4,6,0,0,4,2,,2026-07-27T23:30:15+00:00
6j88qckao7,Auditing Sybil: Explaining Deep Lung Cancer Risk Prediction Through Generative Interventional Attributions,bsenst,bsenst/repro-auditing-sybil-explaining-deep-lung-cancer-risk-prediction-through-generative-intervention,https://huggingface.co/spaces/bsenst/repro-auditing-sybil-explaining-deep-lung-cancer-risk-prediction-through-generative-intervention,True,4,5,0,0,4,1,,2026-07-27T22:34:21+00:00
ILRx5neJk6,DEER: A Benchmark for Evaluating Deep Research Agents on Expert Report Generation,bsenst,bsenst/repro-deer-benchmark,https://huggingface.co/spaces/bsenst/repro-deer-benchmark,True,2,4,1,0,0,3,,2026-07-27T21:59:46+00:00
02Nq73lCe6,From Knowledge to Inference: Formalizing Specialized Public Health Reasoning on GlobalHealthAtlas,bsenst,bsenst/repro-globalhealthatlas,https://huggingface.co/spaces/bsenst/repro-globalhealthatlas,True,6,6,3,0,0,3,,2026-07-27T21:58:57+00:00
