checked_at,orid,title,area,subarea,n_claims,max_points,data_access_signal,gpu_required_signal,author_url_count,github_repo_count,github_repos,hf_url_count,repo_live_ok,weights_signal,open_dataset_signal,simulation_or_theory_data_signal,private_restricted_data_signal,requirements_signal,leaderboard_logbooks,leaderboard_judged_logbooks,leaderboard_positive_logbooks,leaderboard_best_points,leaderboard_verified_claim_events,leaderboard_falsified_claim_events,leaderboard_toy_claim_events,leaderboard_top_users,openreview,arxiv
2026-07-29T01:40:39+00:00,bu6M0Bo6PO,$\texttt{FlashSchNet}$: Fast and Accurate Coarse-Grained Neural Network Molecular Dynamics,Applications,Chemistry Physics And Earth Sciences,6,12,simulation_or_synthetic,True,0,0,,0,False,True,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=bu6M0Bo6PO,2602.13140
2026-07-29T01:40:39+00:00,kHPIJ7KVCw,(Be Cautious!) Bio-Foundation Models Are Not Yet Robust to Biologically Plausible Perturbations and ML Transformations,Applications,,0,0,open_or_public_signal,True,0,0,,0,False,False,True,False,False,False,2,2,2,4,2,0,2,sugan04;ICML-2026-agent-repro,https://openreview.net/forum?id=kHPIJ7KVCw,
2026-07-29T01:40:39+00:00,tDWaPO0Cim,3D Scene Assertion Verification,Applications,Computer Vision,0,0,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=tDWaPO0Cim,
2026-07-29T01:40:39+00:00,TH6pLxCOQ3,3DMedAgent: Unified Perception-to-Understanding for 3D Medical Analysis,Applications,Computer Vision,6,12,open_or_public_signal,True,1,1,jinlab-imvr/3DMedAgent,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=TH6pLxCOQ3,2602.18064
2026-07-29T01:40:39+00:00,Hm8OEDKpiO,3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models,Applications,Computer Vision,5,10,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=Hm8OEDKpiO,2603.07751
2026-07-29T01:40:39+00:00,fve4MEzeSp,A Conflict-aware Evidential Framework for Reliable Sleep Stage Classification,Applications,Neuroscience Cognitive Science,5,10,open_or_public_signal,True,1,1,By4te/ConfSleepNet_ICML2026,0,False,False,True,False,False,False,1,1,1,1,0,0,1,kondratevakate,https://openreview.net/forum?id=fve4MEzeSp,2605.17021
2026-07-29T01:40:39+00:00,lbppqtDUKn,A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments,Applications,Neuroscience Cognitive Science,5,10,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=lbppqtDUKn,2512.13517
2026-07-29T01:40:39+00:00,QvIbmX9jBr,A Factorized Low-Rank RNN Framework for Uncovering Independent Neural Latent Dynamics and Connectivity,Applications,Neuroscience Cognitive Science,5,10,open_or_public_signal,True,0,0,,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=QvIbmX9jBr,2511.13899
2026-07-29T01:40:39+00:00,QEEwlgt8PI,A Geometric Lens on Physics-Aligned Data Compression,Applications,Chemistry Physics And Earth Sciences,6,12,open_or_public_signal,False,0,0,,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=QEEwlgt8PI,2606.03279
2026-07-29T01:40:39+00:00,LQNrpOXqoB,A Hypertoroidal Covering for Perfect Color Equivariance,Applications,Computer Vision,6,12,simulation_or_synthetic,False,0,0,,0,False,False,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=LQNrpOXqoB,2603.04256
2026-07-29T01:40:39+00:00,sI3UUkXJxs,A Regime-Aware Trajectory Prediction Framework for 1000+ Systems Biology Models,Applications,Health Medicine,0,4,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=sI3UUkXJxs,
2026-07-29T01:40:39+00:00,dDGxzaRkxO,A Spiking Heterogeneous Harmonic Resonate-and-Fire State Space Model for Time Series,Applications,Neuroscience Cognitive Science,0,4,open_or_public_signal,True,0,0,,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=dDGxzaRkxO,
2026-07-29T01:40:39+00:00,T4Ibp5vLpE,A hitchhiker's guide to Poisson gradient estimation,Applications,Neuroscience Cognitive Science,5,10,simulation_or_synthetic,False,0,0,,0,False,False,False,True,False,False,1,1,1,5,1,1,1,imadreamerboy,https://openreview.net/forum?id=T4Ibp5vLpE,2602.03896
2026-07-29T01:40:39+00:00,4fX2DEypNL,A$^2$SG: Adaptive and Asymmetric Surrogate Gradients for Training Deep Spiking Neural Networks,Applications,Neuroscience Cognitive Science,6,12,open_or_public_signal,True,1,1,KIST-NCL/A2SG,0,False,False,True,False,False,False,2,2,2,4,1,1,2,nstp;Edd16,https://openreview.net/forum?id=4fX2DEypNL,2606.11236
2026-07-29T01:40:39+00:00,IaZmw8c9U4,ADHD Disease Detection Based on Short- and Long-Term Brain Function Encoding and Memory Graph Network,Applications,Time Series,0,0,open_or_public_signal,False,0,0,,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=IaZmw8c9U4,
2026-07-29T01:40:39+00:00,QZO3oby12w,AI Engram: In Search of Memory Traces in Artificial Intelligence,Applications,Neuroscience Cognitive Science,5,10,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,2,2,2,6,3,1,1,MarxistLeninist;bertfil,https://openreview.net/forum?id=QZO3oby12w,2606.14997
2026-07-29T01:40:39+00:00,5lIJrDCQll,APEX: Approximate-but-exhaustive search for ultra-large combinatorial synthesis libraries,Applications,Chemistry Physics And Earth Sciences,6,12,simulation_or_synthetic,True,0,0,,0,False,False,False,True,False,False,2,2,1,4,0,0,4,Edd16,https://openreview.net/forum?id=5lIJrDCQll,2510.24380
2026-07-29T01:40:39+00:00,n5Ds4qbtjM,Abstraction Induces the Brain Alignment of Language and Speech Models,Applications,Neuroscience Cognitive Science,5,10,unknown,True,0,0,,0,False,False,False,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=n5Ds4qbtjM,2602.04081
2026-07-29T01:40:39+00:00,ZLraoxBly2,Active Timepoint Selection for Learning Measure-Valued Trajectories,Applications,,5,10,open_or_public_signal,False,0,0,,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=ZLraoxBly2,2605.30625
2026-07-29T01:40:39+00:00,iQjyBjSDFp,AdaS: Adaptive Gradient Descent for Spiking Transformers,Applications,Neuroscience Cognitive Science,0,4,open_or_public_signal,True,1,1,CayleyZ/AdaS,0,False,False,True,False,False,False,0,0,0,0,0,0,0,,https://openreview.net/forum?id=iQjyBjSDFp,
