checked_at,orid,title,kind,url,final_url,http_status,github_repo,hf_kind
2026-07-29T01:40:39+00:00,goVeG3ui1Y,Error Amplification Limits ANN-to-SNN Conversion in Continuous Control,github_repo,https://github.com/xuzijie32/ANN2SNN-CRPI,https://github.com/xuzijie32/ANN2SNN-CRPI,,xuzijie32/ANN2SNN-CRPI,
2026-07-29T01:40:39+00:00,tIG4D44jn9,Discrete Diffusion with Physical Mass Constraints for \emph{De Novo} Peptide Sequencing,github_repo,https://github.com/WanyuGroup/ICML2026_PhysNovo,https://github.com/WanyuGroup/ICML2026_PhysNovo,,WanyuGroup/ICML2026_PhysNovo,
2026-07-29T01:40:39+00:00,DkK7GUr8n3,ViEEG: Hierarchical Visual Neural Representation for EEG Brain Decoding,github_repo,https://github.com/LauMason/ViEEG,https://github.com/LauMason/ViEEG,,LauMason/ViEEG,
2026-07-29T01:40:39+00:00,NWcZ5vualM,PATCHCODE: Discrete Latent Predictive Learning for EEG Foundation Model,github_repo,https://github.com/kierenyyu/Patchcode,https://github.com/kierenyyu/Patchcode,,kierenyyu/Patchcode,
2026-07-29T01:40:39+00:00,v5dquZIEUt,RNA-FM: Flow-Matching Generative Model for Genome-wide RNA-Seq Prediction,github_repo,https://github.com/YXSong000/RNA-FM,https://github.com/YXSong000/RNA-FM,,YXSong000/RNA-FM,
2026-07-29T01:40:39+00:00,Eq8LZNsbUb,CONTEXTOR: Contextualized High-order Contrastive Learning,github_repo,https://github.com/ZJUDataIntelligence/CONTEXTOR,https://github.com/ZJUDataIntelligence/CONTEXTOR,,ZJUDataIntelligence/CONTEXTOR,
2026-07-29T01:40:39+00:00,iTkQLqa1Ha,Med-Scout: Curing MLLMs' Geometric Blindness in Medical Perception via Geometry-Aware RL Post-Training,github_repo,https://github.com/HKUSTGZ-ML4Health-Lab/Med-Scout,https://github.com/HKUSTGZ-ML4Health-Lab/Med-Scout,,HKUSTGZ-ML4Health-Lab/Med-Scout,
2026-07-29T01:40:39+00:00,ZK3h2ENA67,NeuronCtrl: Geometry-Aware Safe Closed-Loop Generative Control for Neuronal Microenvironment Dynamics,github_repo,https://github.com/HowieHsu0126/NeuronControl,https://github.com/HowieHsu0126/NeuronControl,,HowieHsu0126/NeuronControl,
2026-07-29T01:40:39+00:00,Tyv61ZKb9s,SynerMedGen: Synergizing Medical Multimodal Understanding with Generation via Task Alignment,github_repo,https://github.com/piooip/SynerMedGen,https://github.com/piooip/SynerMedGen,,piooip/SynerMedGen,
2026-07-29T01:40:39+00:00,3UcWAgr0jx,Spike-HTR: Spiking Neural Transformer for Handwritten Text Recognition,github_repo,https://github.com/QomolangmaH/SpikeHTR,https://github.com/QomolangmaH/SpikeHTR,,QomolangmaH/SpikeHTR,
2026-07-29T01:40:39+00:00,yY7rywRtlI,FLAG: Foundation model representation with Latent diffusion Alignment via Graph for spatial gene expression prediction,github_repo,https://github.com/darkflash03/FLAG,https://github.com/darkflash03/FLAG,,darkflash03/FLAG,
2026-07-29T01:40:39+00:00,goPaAYr1J3,Enhancing Protein-Protein Interaction Prediction with Hierarchical Motif-based Multimodal Protein Embedding,github_repo,https://github.com/yzf-code/MMM-PPI,https://github.com/yzf-code/MMM-PPI,,yzf-code/MMM-PPI,
2026-07-29T01:40:39+00:00,nJxailqsUW,"BrainJanus: A Unified Model for Understanding and Generation across Brain, Vision, and Language",github_repo,https://github.com/HaitaoWuTJU/BrainJanus,https://github.com/HaitaoWuTJU/BrainJanus,,HaitaoWuTJU/BrainJanus,
2026-07-29T01:40:39+00:00,OOyPj8hdiM,"MedScope: Incentivizing ""Think with Videos"" for Clinical Reasoning via Coarse-to-Fine Tool Calling",github_repo,https://github.com/SII-WenjieLisjtu/MedScope,https://github.com/SII-WenjieLisjtu/MedScope,,SII-WenjieLisjtu/MedScope,
2026-07-29T01:40:39+00:00,jEBkuuETjr,Plug-and-Play Diffusion Meets ADMM: Dual-Variable Coupling for Robust Medical Image Reconstruction,github_repo,https://github.com/duchenhe/DC-PnPDP,https://github.com/duchenhe/DC-PnPDP,,duchenhe/DC-PnPDP,
2026-07-29T01:40:39+00:00,jI2TM7Kzlu,Global Credit Assignment via Dynamical Criticality,github_repo,https://github.com/Criticality-Cognitive-Computation-Lab/COLA,https://github.com/Criticality-Cognitive-Computation-Lab/COLA,,Criticality-Cognitive-Computation-Lab/COLA,
2026-07-29T01:40:39+00:00,LgFmen6sHP,Thinking in Scales: Accelerating Gigapixel Pathology Image Analysis via  Adaptive Continuous Reasoning,github_repo,https://github.com/JSGe-AI/PathCTM,https://github.com/JSGe-AI/PathCTM,,JSGe-AI/PathCTM,
2026-07-29T01:40:39+00:00,ZoYQxFtDVM,SI-IGCL: Subject Invariance-aware Inverse Graph Contrastive Learning for Psychiatric Disorder Identification,external_url,https://anonymous.4open.science/r/SI-IGCL,https://anonymous.4open.science/r/SI-IGCL,,,
2026-07-29T01:40:39+00:00,v0DWbfP3b9,MedCRP-CL: Continual Medical Image Segmentation via Bayesian Nonparametric Semantic Modality Discovery,github_repo,https://github.com/zygao930/MedCRP-CL,https://github.com/zygao930/MedCRP-CL,,zygao930/MedCRP-CL,
2026-07-29T01:40:39+00:00,v0AkeYfQGq,TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers,github_repo,https://github.com/Fancyssc/TEFormer,https://github.com/Fancyssc/TEFormer,,Fancyssc/TEFormer,
2026-07-29T01:40:39+00:00,coJqVkqb03,"Ophiuchus: Incentivizing Tool-augmented ''Think with Images'' for Joint Medical Segmentation, Understanding and Reasoning",github_repo,https://github.com/SII-zyj/Ophiuchus,https://github.com/SII-zyj/Ophiuchus,,SII-zyj/Ophiuchus,
2026-07-29T01:40:39+00:00,iQjyBjSDFp,AdaS: Adaptive Gradient Descent for Spiking Transformers,github_repo,https://github.com/CayleyZ/AdaS,https://github.com/CayleyZ/AdaS,,CayleyZ/AdaS,
